duplicate_id,record_ids,author,title,year,journal,abstract,doi,volume,issue,url,issn,start_page,ID,cite_source,cite_label,source,number,pages,isbn,cite_string,label,MergedColumn
5987,5987,"Vettoretti, S. and Pontremoli, R. and Messa, P.",Treatment of hyperuricemia in CKD,2015,Giornale italiano di nefrologia : organo ufficiale della Societa italiana di nefrologia,"Numerous epidemiological studies conducted in the general population indicate that hyperuricemia is associated with an increased risk of developing renal failure. Moreover, among those subjects who are already suffering from chronic kidney disease (CKD), hyperuricemia is associated with a more rapid progression of disease besides with an increased risk of mortality and cardiovascular events. However, to date, the causal role of hyperuricaemia in determining the onset and progression of cardiovascular and renal damage is not yet fully established. Therefore the indications for pharmacological treatment of hyperuricemia (and particulary of asymptomatic hyperuricemia) in patients with CKD are still assigned to the personal orientation of the physician. In order to produce an evidence-based clinical appraisal on this topic, we performed a comparative analysis that included all the prospective studies that have evaluated the impact of treatment with xanthine oxidase inhibithors (XOI) with respect to the onset and progression of CKD. Moreover, since in the past the treatment with XOI was associated with a high risk of toxicity in patients with impaired renal function, we analyzed the toxicity of these drugs for various degrees of renal function impairment summarizing indications, contraindications and recommended doses in patients affected by CKD. In the end, as conclusion of our analysis, we propose an algorithm aimed at guiding the clinical decisions about the treatment of hyperuricemia in patients with CKD.",,32,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85016649924&partnerID=40&md5=0f701dc09baa4184df2fcc6a961578a6,,,,ScopusTIAB,search,ScopusTIAB,,,,,search,20
1794,1794,Y. Sun,The Neural Network of One-Dimensional Convolution-An Example of the Diagnosis of Diabetic Retinopathy,2019,IEEE Access,"Diabetes is a serious threat to health development, because diabetes is a disease that caused most other diseases (complications). Diabetic retinopathy is the most important manifestation of diabetic microangiopathy and is also one of the most common complications in people with diabetes. At present, the diagnosis of diabetic retinal complications mainly depends on the pictures for diagnosis. The fundus images are the main ways to diagnose retinal diseases at present, but the diagnosis process is complicated. Based on this, this paper uses the electronic medical record information of 301 hospitalized patients with diabetes from 2009 to 2013, mainly using the diabetes diagnostic data, diabetes glycosylation data and diabetes biochemical test data, the depth of learning methods and medical diabetes combined with the application of convolution Neural Network Method (CNN) to build a diagnostic model, and thus draw the diagnosis. The main contribution of this study is twofold: 1) In this paper, we apply the CNN method to one-dimensional unrelated data sets and solve the problem of how to do one-dimensional irrelevant data convolution. 2) In this paper, the CNN model is combined with the BN layer to prevent the dispersion of the gradient, speed up the training speed and improve the accuracy of the model. In addition, this model incorporates an adaptive learning rate algorithm and optimizes the model. The experiments show that this method can achieve a training accuracy of 99.85% and a testing accuracy of 97.56%, which is more than 2% higher than that of using logistic regression. The model methods involved in this study can not only be used for the diagnosis of diabetic retinopathy, but also for the diagnosis of other diseases, such as chronic kidney disease, cardiovascular, and cerebrovascular diseases.",10.1109/ACCESS.2019.2916922,7,,,2169-3536,69657,,IEEE,search,IEEE,,69657,2169-3536,,search,1
5351,5351,"Sun, Y.",The Neural Network of One-Dimensional Convolution-An Example of the Diagnosis of Diabetic Retinopathy,2019,IEEE Access,"Diabetes is a serious threat to health development, because diabetes is a disease that caused most other diseases (complications). Diabetic retinopathy is the most important manifestation of diabetic microangiopathy and is also one of the most common complications in people with diabetes. At present, the diagnosis of diabetic retinal complications mainly depends on the pictures for diagnosis. The fundus images are the main ways to diagnose retinal diseases at present, but the diagnosis process is complicated. Based on this, this paper uses the electronic medical record information of 301 hospitalized patients with diabetes from 2009 to 2013, mainly using the diabetes diagnostic data, diabetes glycosylation data and diabetes biochemical test data, the depth of learning methods and medical diabetes combined with the application of convolution Neural Network Method (CNN) to build a diagnostic model, and thus draw the diagnosis. The main contribution of this study is twofold: 1) In this paper, we apply the CNN method to one-dimensional unrelated data sets and solve the problem of how to do one-dimensional irrelevant data convolution. 2) In this paper, the CNN model is combined with the BN layer to prevent the dispersion of the gradient, speed up the training speed and improve the accuracy of the model. In addition, this model incorporates an adaptive learning rate algorithm and optimizes the model. The experiments show that this method can achieve a training accuracy of 99.85% and a testing accuracy of 97.56%, which is more than 2% higher than that of using logistic regression. The model methods involved in this study can not only be used for the diagnosis of diabetic retinopathy, but also for the diagnosis of other diseases, such as chronic kidney disease, cardiovascular, and cerebrovascular diseases. © 2013 IEEE.",10.1109/ACCESS.2019.2916922,7,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067249530&doi=10.1109%2fACCESS.2019.2916922&partnerID=40&md5=23e51ec1f47e1766e6ed42aeef0218bf,,69657,,ScopusTIAB,search,ScopusTIAB,,69657,,,search,1
4385,"4385, 3584","Brotons, C. and Camafort, M. and Castellanos, M.D.M. and Clarà, A. and Cortés, O. and Diaz Rodriguez, A. and Elosua, R. and Gorostidi, M. and Hernández, A.M. and Herranz, M. and Justo, S. and Lahoz, C. and Niño, P. and Pallarés-Carratalá, V. and Pedro-Botet, J. and Pérez Pérez, A. and Royo-Bordonada, M.A. and Santamaria, R. and Tresserras, R. and Zamora, A. and Zuza, I. and Armario, P.",Statement of the Spanish Interdisciplinary Vascular Prevention Committee on the updated European Guidelines on Cardiovascular Disease Prevention,2022,Clinica e Investigacion en Arteriosclerosis,"We present the Spanish adaptation of the 2021 European Guidelines on Cardiovascular Disease Prevention in Clinical Practice. The current guidelines besides the individual approach greatly emphasize on the importance of population level approaches to the prevention of cardiovascular diseases. Systematic global cardiovascular disease risk assessment is recommended in individuals with any major vascular risk factor. Regarding LDL-cholesterol, blood pressure, and glycemic control in patients with diabetes mellitus, goals and targets remain as recommended in previous guidelines. However, it is proposed a new, stepwise approach (steps 1 and 2) to treatment intensification as a tool to help physicians and patients pursue these targets in a way that fits patient profile. After step 1, considering proceeding to the intensified goals of step 2 is mandatory, and this intensification will be based on 10-year cardiovascular disease risk, lifetime cardiovascular disease risk and treatment benefit, comorbidities and patient preferences. The updated SCORE algorithm ?SCORE2, SCORE2-OP? is recommended in these guidelines, which estimates an individual's 10-year risk of fatal and non-fatal cardiovascular disease events (myocardial infarction, stroke) in healthy men and women aged 40-89 years. Another new and important recommendation is the use of different categories of risk according to different age groups (< 50, 50-69, ≥ 70 years). Different flow charts of cardiovascular disease risk and risk factor treatment in apparently healthy persons, in patients with established atherosclerotic cardiovascular disease, and in diabetic patients are recommended. Patients with chronic kidney disease are considered high risk or very high-risk patients according to the levels of glomerular filtration rate and albumin-to-creatinine ratio. New lifestyle recommendations adapted to the ones published by the Spanish Ministry of Health as well as recommendations focused on the management of lipids, blood pressure, diabetes and chronic renal failure are included. © 2022 Sociedad Española de Arteriosclerosis",10.1016/j.arteri.2022.03.003,34,4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134932963&doi=10.1016%2fj.arteri.2022.03.003&partnerID=40&md5=d466ccbdce739ed5b9da658e0c95fa6f,1578-1879 0214-9168,219,,"ScopusTIAB, Medline","search, search","ScopusTIAB, Medline",4,219,1578-1879 0214-9168,,"search, search",NA
5549,5549,"Li, P. and Ma, X. and Ding, D. and Zhang, H. and Zhang, M.",Resting-state fMRI observation on relationship between brain spontaneous neural activity and cognitive dysfunction in end-stage renal disease patients,2018,Chinese Journal of Medical Imaging Technology,"Objective To investigate the changes of spontaneous brain activity and the relationship with cognitive dysfunction in the end-stage renal disease (ESRD) patients using resting-state fMRI (rs-fMRI) with the amplitude of low-frequency fluctuation (ALFF) algorithm. Methods Totally 28 ESRD patients (ESRD group) and 25 age- and sex-matched healthy controls (control group) underwent rs-fMRI and Montreal Cognitive Assessment (MoCA). The laboratory tests, including serum creatinine and urea, were performed in all ESRD patients. SPM 8 and REST 1.4 software were used to process the data and generate all participants' mean ALFF maps. Two-sample t test was used to determine the mean ALFF differences between ESRD group and control group. In addition, the Pearson correlation analysis was used to evaluate the relationship between the brain regions with different mean ALFF value and the MoCA scores, serum creatinine and urea level. Results Compared with control group, MoCA scores in ESRD groups were significantly lower (P=0.006). The brain regions with significantly decreased mean ALFF value in ESRD group including bilateral middle frontal gyrus, bilateral medial frontal gyrus, right superior frontal gyrus, bilateral precuneus, bilateral inferior frontal gyrus, bilateral caudate, bilateral cingulate gyrus, left middle occipital gyrus and bilateral temporal gyrus (all P<0.001, FDR correction). No brain region with increased mean ALFF value was found. The mean ALFF value in left middle frontal gyrus (r=0.68, P<0.001, FDR correction) and left middle temporal gyrus (r=0.59, P<0.001, FDR correction) was positively correlated with MoCA scores of ESRD patients. No significant correlation was found between ALFF value of brain regions and serum creatinine nor urea level (all P>0.05). Conclusion Cognitive dysfunction in ESRD patients is closely correlated with the changes of spontaneous brain activity in left middle frontal gyrus and left middle temporal gyrus, which might provide imaging marker of brain function for hemodialysis ESRD patients. Copyright © 2018 by the Press of Chinese Journal of Medical Imaging and Technology.",10.13929/j.1003-3289.201802088,34,11,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065496502&doi=10.13929%2fj.1003-3289.201802088&partnerID=40&md5=8741ff5a986e0a0fd1a18b3b8cc35841,,1645,,ScopusTIAB,search,ScopusTIAB,11,1645,,,search,2
5490,5490,"Li, P. and Ma, X. and Ding, D. and Zhang, H. and Zhang, M.",Resting-state fMRI observation of abnormal spontaneous brain activity related to executive dysfunction in patients with end-stage renal disease,2018,Chinese Journal of Medical Imaging Technology,"Objective To investigate the executive dysfunction and related abnormal spontaneous brain activity in patients with end-stage renal disease (ESRD) using resting-state fMRI (rs-fMRI) and amplitude of low-frequency fluctuation (ALFF) algorithm. Methods Totally 35 ESRD patients (ESRD group) and 32 healthy controls (control group) with matched sex and age were assessed with trail making test (TMT) and rs-fMRI. The blood tests, include creatinine, hemoglobin, urea and cystatin C were collected in all ESRD patients. SPM8 and REST 1.8 software were used to process the data and generate mean ALFF maps in all participants, and the brain regions with different ALFF were obtained. In addition, the correlation between the mean ALFF values of significant brain regions and TMT scores, as well as blood tests 1evels were evaluated with Pearson correlation analysis. Results Compared with control group, the brain regions in ESRD group with significantly decreased mean ALFF values included the bilateral middle frontal gyrus, bilateral precuneus, bilateral medial frontal gyrus, bilateral cingulate gyrus, bilateral middle temporal gyrus, left middle occipital gyrus and right superior frontal gyrus (all P<0.001, FDR corrected). TMT score of ESRD group was negatively correlated with mean ALFF values in the left middle frontal gyrus (r=-0.57, P<0.001) and middle cingulate gyrus (r=-0.55, P<0.001). The level of hemoglobin was positively correlated with mean ALFF values in anterior cingulate gyrus (r=0.63,P<0.001), left middle frontal gyrus (r=0.64, P<0.001) and left middle temporal gyrus (r=0.51, P<0.001). The levels of creatinine, urea and cystatin C showed no significant correlation with mean ALFF values (all P>0.05). Conclusion Executive dysfunction is closely correlated with the abnormal spontaneous brain activity in left middle frontal gyrus and middle cingulate gyrus in ESRD patients, and the levels of hemoglobin were correlated with the abnormal spontaneous brain activity in left middle frontal gyrus, which may provide a novel imaging marker for executive dysfunction and intervention in ESRD patients. Copyright © 2018 by the Press of Chinese Journal of Medical Imaging and Technology.",10.13929/j.1003-3289.201802092,34,12,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065100619&doi=10.13929%2fj.1003-3289.201802092&partnerID=40&md5=e7aa7802bd81ee278783a7e4990e6ab6,,1787,,ScopusTIAB,search,ScopusTIAB,12,1787,,,search,2
2310,"2310, 1237, 5223, 1238","Putra, Firdani Rianda and Nursetyo, Aldilas Achmad and Thakur, Saurabh Singh and Roy, Ram Babu and Syed-Abdul, Shabbir and Malwade, Shwetambara and Li, Yu-Chuan Jack",Prediction of Clinical Events in Hemodialysis Patients Using an Artificial Neural Network,2019,Studies in health technology and informatics,"Advanced chronic kidney disease (CKD) requires routine renal replacement therapy (RRT) that involves hemodialysis (HD) which may cause increased risk of muscle spasms, cardiovascular events, and death. We used Artificial Neural Network (ANN) method to predict clinical events during the HD sessions. The vital signs, captured using a non-contact bed-sensor, and demographic information from the electronic medical records for 109 patients enrolled in the study was used. Weka Workbench software was used to train and validate the ANN model. The prediction model was built using a Multilayer perceptron (MLP) algorithm as part of the ANN with 10-fold cross-validation. The model showed mean precision and recall of 93.45% and AUC of 96.7%. Age was the most important variable for static feature and heart rate for dynamic feature. This model can be used to predict the risk of clinical events among HD patients and can support decision-making for healthcare professionals.",10.3233/SHTI190539,264,,http://ezproxy.library.uvic.ca/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=ccm&AN=148538372&site=ehost-live&scope=site,1879-8365 0926-9630,1570,148538372,"Medline, CINAHL, ScopusTIAB, CINAHL","search, search, search, search","Medline, CINAHL, ScopusTIAB, CINAHL",,1570,1879-8365 0926-9630,,"search, search, search, search",NA
2997,"2997, 5503, 1103","Chan, Vincent King Yu and Chan, Lawrence Wing Chi and Chow, Daniel Hung Kay",Oxygen Saturation and Heart Rate Variations as Predictors of Intradialytic Hypotension,2018,Nephrology nursing journal : journal of the American Nephrology Nurses' Association,"AIntradialytic hypotension (IDH) occurring during hemodialysis (HD) may cause severe complications and can be life-threatening. IDH is a common symptom in patients with end stage renal disease undergoing HD. Currently, no effective predictive models for IDH exist. This study analyzed data on variations in oxygen saturation (SaO(2)) and heart rate (HR) in 68 patients during their HD sessions by using sequence alignment and Boolean algebra. Three classifiers derived from SaO(2) and HR variation data were developed as predictors for predetermining IDH occurrence within 30 minutes. The accuracy of these classifiers in predicting IDH occurrence was approximately 80%. SaO(2) and HR variations can potentially be used as predictors for developing an alarm system for detecting IDH occurrence.",,45,1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051990669&partnerID=40&md5=882fa9d346296bacc28cb1b6d7370032,1526-744X,53,128108114,"Medline, ScopusTIAB, CINAHL","search, search, search","Medline, ScopusTIAB, CINAHL",1,53,1526-744X,,"search, search, search",NA
6226,6226,"Kurzynski, M.W. and Puchala, E.",Multiperspective recognition applied to the computer-aided medical diagnosis - A comparative study of methods,2001,"Annual Reports of the Research Reactor Institute, Kyoto University","This paper deals with the multiperspective recognition technique applied to the computer-aided decisions in medicine. For three different concepts of multiperspective classification, i.e. direct, decomposed independent and decomposed dependent approach, several decision algorithms are presented. They are: probabilistic (empirical Bayes) algorithm, nearest neighbour algorithm, fuzzy method and artificial neural network of the back propagation and counter propagation types. Proposed methods and algorithms have been applied to the computer-aided diagnosis of chronic renal failure and decisions in non-Hodgkin lymphoma. Results of experimental investigations on the real data and outcomes of the comparative analysis of discussed algorithms are presented.",,4,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035782144&partnerID=40&md5=d53436362217704adec6586d53818bd8,,3807,,ScopusTIAB,search,ScopusTIAB,,3807,,,search,3
1785,1785,M. W. Kurzynski and E. Puchala,Multiperspective recognition applied to the computer-aided medical diagnosis - a comparative study of methods,2001,Conf Proc IEEE Eng Med Biol Soc,"Deals with the multiperspective recognition technique applied to computer-aided decisions in medicine. For three different concepts of multiperspective classification, i.e. direct, decomposed independent and decomposed dependent approach, several decision algorithms are presented. They are: probabilistic (empirical Bayes) algorithm, nearest neighbour algorithm, fuzzy method and artificial neural network of the back propagation and counter propagation types. Proposed methods and algorithms have been applied to the computer-aided diagnosis of chronic renal failure and decisions in non-Hodgkin lymphoma. Results of experimental investigations on the real data and outcomes of the comparative analysis of the algorithms discussed are presented.",10.1109/IEMBS.2001.1019668,4,,,1094-687X,3807,,IEEE,search,IEEE,,3807,1094-687X,,search,3
