,V1,V2,Count
301,kidney disease,1,222
62,chronic kidney,1,154
63,chronic kidney disease,1,152
670,vascular disease,1,52
46,cardiovascular disease,1,33
125,diabetes mellitus,1,29
58,chronic disease,1,28
59,chronic diseases,1,18
126,diabetic kidney,1,17
127,diabetic kidney disease,1,17
249,heart disease,1,16
385,medical record,1,16
15,anemia management,1,13
168,end-stage kidney,1,12
169,end-stage kidney disease,1,12
422,nephrotic syndrome,1,12
454,population health,1,12
669,vascular calcification,1,12
157,early stage,1,11
386,medical records,1,11
416,natural language,1,11
507,public health,1,11
47,cardiovascular diseases,1,10
163,electronic medical,1,10
164,electronic medical record,1,10
305,kidney diseases,1,10
319,language processing,1,8
417,natural language processing,1,8
147,disease stage,1,7
210,general population,1,7
54,cerebrovascular disease,1,6
60,chronic heart,1,6
109,coronary heart,1,6
110,coronary heart disease,1,6
154,early detection,1,6
382,medical history,1,6
638,therapeutic algorithm,1,6
1,abdominal aortic,1,5
21,arterial hypertension,1,5
50,cardiovascular mortality,1,5
104,contrast media,1,5
131,diagnostic algorithm,1,5
158,early stages,1,5
165,electronic medical records,1,5
197,false positive,1,5
235,health condition,1,5
242,health status,1,5
304,kidney disease stage,1,5
352,long-term hemodialysis,1,5
401,model predictive,1,5
481,predictive values,1,5
499,proposed model,1,5
611,stimulating agents,1,5
65,chronic kidney disease stage,1,4
135,dialysis population,1,4
136,differential diagnosis,1,4
159,effectively improve,1,4
173,endothelial growth,1,4
174,endothelial growth factor,1,4
237,health problem,1,4
251,hemoglobin levels,1,4
274,increased morbidity,1,4
486,privacy concerns,1,4
504,proteins involved,1,4
551,resource allocation,1,4
635,teacher model,1,4
645,transfer learning,1,4
671,vascular endothelial,1,4
672,vascular endothelial growth,1,4
673,vascular endothelial growth factor,1,4
676,ventricular hypertrophy,1,4
11,advanced disease,1,3
27,atherosclerotic cardiovascular,1,3
28,atherosclerotic cardiovascular disease,1,3
32,baseline methods,1,3
40,breast cancer,1,3
66,chronic kidney diseases,1,3
89,competitive baseline,1,3
124,development process,1,3
181,expert panel,1,3
191,extensive experiments,1,3
214,global health,1,3
240,health service,1,3
255,higher mortality,1,3
263,hypertension management,1,3
281,insulin resistance,1,3
370,major cardiovascular,1,3
374,medical center,1,3
384,medical management,1,3
402,modern medicine,1,3
451,policy makers,1,3
456,positive predictive,1,3
488,procedure codes,1,3
